table_name,data_type,identifier,table_description,column_name,ordinal_position,column_type,not_null,default_value,primary_key,geometry_type,srs_id,z,m,data_column_name,column_title,column_description,mime_type,constraint_name
divides,features,divides,,fid,0,INTEGER,1,,1,,,,,,,,,
divides,features,divides,,geom,1,MULTIPOLYGON,0,,0,MULTIPOLYGON,5070,0,0,,,,,
divides,features,divides,,divide_id,2,REAL,0,,0,,,,,,,,,
divides,features,divides,,areasqkm,3,REAL,0,,0,,,,,,,,,
divides,features,divides,,has_flowpath,4,BOOLEAN,0,,0,,,,,,,,,
divides,features,divides,,flowpath_id,5,REAL,0,,0,,,,,,,,,
divides,features,divides,,vpuid,6,TEXT,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,fid,0,INTEGER,1,,1,,,,,,,,,
flowpaths,features,flowpaths,,geom,1,MULTILINESTRING,0,,0,MULTILINESTRING,5070,0,0,,,,,
flowpaths,features,flowpaths,,flowpath_id,2,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,reachcode,3,TEXT,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,frommeas,4,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,tomeas,5,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,burnline_event,6,BOOLEAN,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,reversed,7,BOOLEAN,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,source,8,TEXT,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,flowpath_toid,9,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,lengthkm,10,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,areasqkm,11,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,totdasqkm,12,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,terminalpa,13,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,dnhydroseq,14,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,hydroseq,15,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,mainstemlp,16,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,dnlevelpat,17,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,pathlength,18,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,terminalfl,19,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,streamorder,20,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,startflag,21,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,outlet_X,22,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,outlet_Y,23,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,has_divide,24,BOOLEAN,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,divide_id,25,REAL,0,,0,,,,,,,,,
flowpaths,features,flowpaths,,vpuid,26,TEXT,0,,0,,,,,,,,,
hydrolocations,features,hydrolocations,,fid,0,INTEGER,1,,1,,,,,,,,,
hydrolocations,features,hydrolocations,,geom,1,POINT,0,,0,POINT,5070,0,0,,,,,
hydrolocations,features,hydrolocations,,flowpath_id,2,REAL,0,,0,,,,,,,,,
hydrolocations,features,hydrolocations,,poi_id,3,MEDIUMINT,0,,0,,,,,,,,,
